"Year_Index","Cpi_ratio","Year_Calendar","Annual_Return_GMVP","Annual_Return_MV","Annual_Return_SP500","Volatility_GMVP","Volatility_MV","Volatility_SP500","Sharpe_GMVP","Sharpe_MV","Sharpe_SP500","Turnover_GMVP","Turnover_MV","Trans_Cost_GMVP","Trans_Cost_MV"
1,1.03860198226395,2005,2.78,-1.39,8.25,20.19,18.8,8.57,0.004,-0.217,0.648,0.939,0.923,0.09,0.09
2,1.05320813771518,2006,23.7,23.68,16.79,10.56,10.58,7,1.812,1.808,1.746,0.373,0.367,0.04,0.04
3,1.09123630672926,2007,12.76,11.85,14.34,10.74,10.4,8.08,0.724,0.66,1.158,0.158,0.217,0.02,0.02
4,1.13195096504956,2008,-32.39,-33.54,-36.06,13.67,14.37,20.29,-2.537,-2.493,-1.89,0.098,0.042,0.01,0
5,1.12941575378195,2009,-0.89,-4.94,9.72,26.6,37.14,23.47,-0.043,-0.14,0.403,0.233,0.286,0.02,0.03
6,1.14259259259259,2010,1.97,7.52,16.68,19.57,21.04,18.93,0.094,0.351,0.874,0.291,0.315,0.03,0.03
7,1.18283776734481,2011,20.12,17.31,8.02,16,17.66,17.72,1.251,0.975,0.447,0.041,0.099,0,0.01
8,1.20833594157538,2012,24.83,30.71,15.04,14.3,14.03,10.47,1.732,2.184,1.43,0.054,0.247,0.01,0.02
9,1.21893062076161,2013,13.1,27.47,27.09,10.37,10.74,9.73,1.256,2.55,2.775,0.033,0.166,0,0.02
10,1.23854981742306,2014,9.53,5.44,16.95,10.76,8.89,7.97,0.882,0.608,2.121,0.031,0.113,0,0.01
11,1.24013041210224,2015,3.25,12.71,5.19,16.48,17.26,14.51,0.196,0.735,0.356,0.05,0.145,0.01,0.01
12,1.26103808033386,2016,4.16,-0.04,4.42,10.97,12.89,9.59,0.358,-0.022,0.436,0.036,0.303,0,0.03
13,1.28652060511215,2017,5.41,5.08,23.43,9.23,11.06,4.68,0.507,0.393,4.85,0.022,0.062,0,0.01
14,1.3185811163276,2018,7.6,-6.34,7.16,13.42,12.54,12.47,0.446,-0.634,0.445,0.025,0.464,0,0.05
15,1.34144496609285,2019,-3.87,-4.16,14.31,18.66,23.11,17.42,-0.332,-0.281,0.688,0.039,0.149,0,0.01
16,1.35794992175274,2020,-20.09,-23.3,9.73,26.94,25.75,24.54,-0.774,-0.934,0.366,0.078,0.187,0.01,0.02
17,1.44250391236307,2021,70.73,73.58,42.62,13.56,15.63,13.72,5.211,4.703,3.102,0.227,0.093,0.02,0.01
18,1.55440271257173,2022,28.07,29.6,-14.63,24.25,26.54,22.69,1.121,1.082,-0.684,0.027,0.116,0,0.01
19,1.60486697965571,2023,-0.61,0.84,9.99,13.08,12.81,15.12,-0.42,-0.316,0.337,0.076,0.312,0.01,0.03
20,1.64613458528952,2024,11.5,15.32,37.81,12.16,13.31,10.99,0.496,0.74,2.943,0.025,0.2,0,0.02
21,1.64613458528952,2025,5.66,5.84,21.4,9.13,9.64,12.61,0.134,0.146,1.346,0.029,0.185,0,0.02
